source\target,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/material,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,phys/spatial
MD/mul_div_2op_symbolic,0.0000,0.0028,0.0046,0.0014,0.0000,0.0000,0.0000,0.0012,0.9940,0.9768,0.9980,0.9853,0.5839,0.0088,0.0000,0.0000,0.9863,0.0000,0.5564,0.0000,0.0000,1.0000,0.9921,0.9904,0.8629,0.1006,0.9880,0.0032,0.0000,0.0010,0.0000,0.0000,0.0053,0.0084,0.0000,0.0135,0.0025,0.0012,0.0009,0.0026,0.0122,0.0013,0.0000,0.0000,0.0000,0.0040,0.0000
MD/mul_div_2op_verbal,0.0000,0.0069,0.0011,0.0000,0.0000,0.0000,0.0011,0.0008,0.9880,0.9867,0.9928,0.9786,0.5686,0.0317,0.0000,0.0000,0.9462,0.0000,0.1041,0.0000,0.0000,0.9990,0.9921,0.9764,0.7661,0.0704,0.9760,0.0032,0.0000,0.0015,0.0000,0.0015,0.0071,0.0084,0.0107,0.0090,0.0025,0.0150,0.0177,0.0130,0.1634,0.0065,0.0086,0.0239,0.0055,0.0324,0.0000
MD/mul_div_3op_symbolic,0.0000,0.0069,0.0023,0.0000,0.0000,0.0000,0.0000,0.0021,0.9970,0.9680,0.9959,0.9638,0.5882,0.0044,0.0000,0.0000,0.9828,0.0000,0.7185,0.0000,0.0000,1.0000,0.9882,0.9914,0.8548,0.1046,0.9854,0.0032,0.0000,0.0000,0.0000,0.0000,0.0044,0.0037,0.0053,0.0135,0.0025,0.0025,0.0009,0.0013,0.0076,0.0013,0.0000,0.0000,0.0000,0.0000,0.0070
MD/number_sequence,0.0000,0.0083,0.0034,0.0000,0.0000,0.0000,0.0000,0.0012,0.1576,0.0906,0.1236,0.1475,0.3715,0.0066,0.0000,0.0000,0.5767,0.0000,0.0537,0.0000,0.0000,0.1788,0.2147,0.3162,0.7097,0.2183,0.4328,0.0032,0.0000,0.0005,0.0000,0.0000,0.0009,0.0094,0.0107,0.0045,0.0025,0.0062,0.0000,0.0039,0.0168,0.0000,0.0011,0.0048,0.0041,0.0040,0.0000
MD/number_sorting,0.0000,0.0028,0.0034,0.0014,0.0000,0.0000,0.0011,0.0021,0.0000,0.0033,0.0041,0.0040,0.0131,0.0175,0.0000,0.0010,0.0011,0.0288,0.0066,0.0393,0.0000,0.0000,0.0013,0.0021,0.0161,0.8169,0.0067,0.0158,0.0010,0.0035,0.0000,0.0030,0.0018,0.0290,0.0160,0.0180,0.0101,0.0350,0.0065,0.0104,0.0580,0.0013,0.0043,0.0223,0.0097,0.0148,0.0282
MD/simple_equation,0.0000,0.0069,0.0057,0.0014,0.0000,0.0000,0.0011,0.0016,0.9960,0.9823,0.9980,0.9812,0.5904,0.0055,0.0000,0.0000,0.9886,0.0000,0.8401,0.0000,0.0000,1.0000,0.9882,0.9829,0.8911,0.1036,0.9920,0.0016,0.0000,0.0005,0.0000,0.0000,0.0044,0.0056,0.0000,0.0135,0.0000,0.0037,0.0009,0.0013,0.0260,0.0013,0.0000,0.0000,0.0000,0.0013,0.0000
ToM/agent,0.0000,0.0110,0.0080,0.0014,0.0018,0.0000,0.0000,0.0016,0.0000,0.0022,0.0010,0.0040,0.0022,0.0098,0.0000,0.0000,0.0011,0.0021,0.0000,0.0630,0.0000,0.0000,0.0013,0.0011,0.0000,0.0050,0.0000,0.0079,0.0010,0.0020,0.0000,0.0046,0.0053,0.0318,0.0374,0.0270,0.0202,0.0162,0.0019,0.0065,0.0214,0.0000,0.0011,0.0096,0.0097,0.0054,0.0211
ToM/desires_goals,0.0000,0.0138,0.0080,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.0022,0.0000,0.0013,0.0000,0.0088,0.0000,0.0000,0.0000,0.0000,0.0011,0.0124,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0111,0.0000,0.0005,0.0000,0.0010,0.0036,0.0037,0.0214,0.0135,0.0252,0.0050,0.0000,0.0039,0.0092,0.0039,0.0000,0.0064,0.0055,0.0013,0.0211
ToM/emotion_fewshot,0.0000,0.0303,0.0252,0.0099,0.0037,0.0000,0.0022,0.0037,0.0000,0.0044,0.0020,0.0080,0.0109,0.0832,0.0000,0.0040,0.0000,0.0192,0.0055,0.0465,0.0000,0.0000,0.0026,0.0011,0.0040,0.0050,0.0053,0.0158,0.0010,0.9990,0.1355,0.1205,0.6237,0.3704,0.0481,0.0225,0.0025,0.0599,0.0446,0.0975,0.3435,0.0144,0.0300,0.0669,0.1008,0.0769,0.0352
ToM/norm_appropriate,0.0000,0.0096,0.0092,0.0085,0.0000,0.0000,0.0022,0.0099,0.0000,0.0022,0.0010,0.0054,0.0142,0.0624,0.0010,0.0010,0.0011,0.0245,0.0044,0.3089,0.0010,0.0000,0.0013,0.0011,0.0040,0.0050,0.0013,0.0174,0.0000,0.0192,1.0000,0.8800,0.0160,0.0720,0.0428,0.0135,0.0202,0.0549,0.0353,0.0520,0.1145,0.0170,0.0075,0.0446,0.4116,0.0418,0.0493
ToM/norm_moral,0.0000,0.0179,0.0275,0.0169,0.0018,0.0000,0.0011,0.0033,0.0000,0.0000,0.0020,0.0080,0.0109,0.0766,0.0010,0.0080,0.0023,0.0533,0.0044,0.4008,0.0020,0.0000,0.0039,0.0021,0.0121,0.0060,0.0053,0.0332,0.0050,0.0197,0.8580,1.0000,0.0507,0.1216,0.0695,0.0225,0.0202,0.1011,0.0493,0.0442,0.0992,0.0065,0.0097,0.0478,0.3149,0.2443,0.0634
ToM/primary_emotions,0.0000,0.0083,0.0034,0.0014,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0010,0.0054,0.0011,0.0088,0.0000,0.0000,0.0011,0.0000,0.0044,0.0000,0.0000,0.0000,0.0000,0.0021,0.0040,0.0040,0.0000,0.0032,0.0000,0.0020,0.0000,0.0010,0.0071,0.0468,0.0160,0.0090,0.0101,0.0075,0.0037,0.0026,0.0214,0.0000,0.0000,0.0032,0.0055,0.0027,0.0000
ToM/secondary_emotions,0.0000,0.0124,0.0069,0.0014,0.0000,0.0000,0.0000,0.0012,0.0000,0.0011,0.0000,0.0054,0.0000,0.0033,0.0000,0.0000,0.0000,0.0011,0.0033,0.0103,0.0000,0.0000,0.0000,0.0011,0.0040,0.0020,0.0000,0.0063,0.0020,0.0010,0.0000,0.0005,0.0018,0.1515,0.0588,0.0225,0.0479,0.0037,0.0009,0.0026,0.0260,0.0000,0.0000,0.0080,0.0000,0.0000,0.0141
ToM/social_interactions,0.0009,0.0138,0.0126,0.0028,0.0000,0.0000,0.0011,0.0021,0.0000,0.0011,0.0000,0.0040,0.0022,0.0033,0.0000,0.0000,0.0011,0.0011,0.0011,0.0010,0.0000,0.0000,0.0013,0.0011,0.0121,0.0010,0.0000,0.0047,0.0010,0.0015,0.0000,0.0020,0.0018,0.0103,0.0053,0.0270,0.0126,0.0062,0.0019,0.0013,0.0198,0.0052,0.0000,0.0016,0.0069,0.0013,0.0141
ToM/social_relations,0.0009,0.0055,0.0069,0.0014,0.0000,0.0000,0.0011,0.0021,0.0000,0.0011,0.0010,0.0054,0.0033,0.0263,0.0000,0.0000,0.0000,0.0075,0.0022,0.0062,0.0000,0.0000,0.0000,0.0011,0.0040,0.0050,0.0013,0.0126,0.0010,0.0015,0.0000,0.0015,0.0000,0.0131,0.0321,0.0360,0.0151,0.0537,0.0056,0.0078,0.0321,0.0039,0.0032,0.0016,0.0028,0.0067,0.0141
phys/material,0.0000,0.0110,0.0080,0.0042,0.0000,0.0000,0.0011,0.0054,0.0000,0.0000,0.0020,0.0054,0.0011,0.0131,0.0000,0.0000,0.0023,0.0053,0.0099,0.0010,0.0000,0.0000,0.0000,0.0000,0.0081,0.0020,0.0027,0.0016,0.0010,0.0020,0.0000,0.0005,0.0000,0.0065,0.0481,0.0180,0.0378,0.0075,0.0056,0.0039,0.0519,0.0013,0.0000,0.0080,0.0069,0.0216,0.0141
