,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/logic_propositional_symbolic,0.001142,0.000000,0.001280,0.001731,0.010507,0.014844,0.033651,0.012126,0.003162,0.278564,0.000000,0.057851,0.101469,0.001573,0.000349,0.000801,0.000000,0.029588,0.025673,0.001169,0.038395,0.020028,0.007700,0.016494,0.032156,0.029735,0.025709,0.030171,0.030464,0.054495,0.042245,0.011592,0.017136,0.004981,0.009087,0.014148,0.021165,0.006999,0.000000,0.000000,0.000563,0.000000,0.000000,0.008115,0.002016,0.001126
MD/logic_syllogism_1,0.002560,0.006559,0.001283,0.005404,0.026251,0.024125,0.067239,0.025939,0.004250,0.068106,0.057851,0.000000,0.039005,0.001739,0.004342,0.001459,0.005877,0.014458,0.036952,0.000862,0.030007,0.025583,0.023094,0.040743,0.035971,0.029776,0.023344,0.029047,0.022456,0.026891,0.022381,0.018841,0.031185,0.023757,0.023519,0.043909,0.038037,0.023115,0.010527,0.003950,0.004823,0.003440,0.017167,0.023927,0.010957,0.019292
MD/logic_syllogism_symbolic,0.002342,0.002806,0.001049,0.003377,0.010833,0.026818,0.036570,0.029034,0.002542,0.164367,0.101469,0.039005,0.000000,0.000948,0.003551,0.001193,0.002754,0.011826,0.038009,0.001664,0.017460,0.010125,0.021939,0.023015,0.026985,0.007865,0.007750,0.014002,0.023645,0.049982,0.042315,0.029389,0.020054,0.023539,0.026421,0.021085,0.023646,0.023789,0.012095,0.006841,0.004666,0.004865,0.020979,0.031659,0.007747,0.017986
MD/mul_div_2op_symbolic,0.092834,0.064876,0.092865,0.065767,0.055590,0.002175,0.002048,0.001291,0.097408,0.000000,0.001573,0.001739,0.000948,0.000000,0.104078,0.126325,0.086928,0.050188,0.018241,0.104912,0.000000,0.000811,0.001970,0.002195,0.001345,0.000430,0.000000,0.000596,0.000823,0.001027,0.000949,0.001630,0.001272,0.001180,0.000878,0.000946,0.001778,0.001790,0.002218,0.000756,0.000675,0.000243,0.002628,0.001465,0.000773,0.001835
MD/mul_div_2op_verbal,0.065050,0.087454,0.063000,0.079193,0.042482,0.011844,0.008655,0.011517,0.069671,0.000000,0.000349,0.004342,0.003551,0.104078,0.000000,0.094778,0.109700,0.043793,0.019076,0.075196,0.000837,0.002656,0.011557,0.004118,0.003829,0.001726,0.000719,0.001390,0.001584,0.008752,0.008460,0.006827,0.008092,0.006733,0.006602,0.009321,0.006733,0.008617,0.002092,0.000485,0.000433,0.000000,0.000000,0.001382,0.000729,0.002597
MD/mul_div_3op_symbolic,0.090202,0.062759,0.092408,0.065828,0.055427,0.001370,0.001555,0.001141,0.105393,0.000432,0.000801,0.001459,0.001193,0.126325,0.094778,0.000000,0.100114,0.046713,0.016565,0.106260,0.000904,0.000827,0.001741,0.001789,0.001185,0.000439,0.000000,0.000286,0.001140,0.001507,0.001289,0.001660,0.001493,0.001947,0.001342,0.000709,0.001812,0.002038,0.001063,0.000524,0.000467,0.000526,0.000000,0.001493,0.000788,0.002310
MD/mul_div_3op_verbal,0.060463,0.084759,0.061137,0.080483,0.043238,0.012638,0.009041,0.013073,0.075024,0.000411,0.000000,0.005877,0.002754,0.086928,0.109700,0.100114,0.000000,0.042857,0.017664,0.073371,0.000859,0.002357,0.013519,0.006553,0.005984,0.000886,0.000738,0.001155,0.001626,0.009980,0.009604,0.006794,0.008662,0.009443,0.008453,0.010485,0.008634,0.010579,0.000000,0.000234,0.000209,0.000235,0.000814,0.000000,0.000000,0.002666
MD/number_sequence,0.046367,0.039951,0.044180,0.037978,0.052863,0.012010,0.004907,0.002866,0.069417,0.008010,0.029588,0.014458,0.011826,0.050188,0.043793,0.046713,0.042857,0.000000,0.093835,0.059466,0.016201,0.042022,0.005309,0.007890,0.011801,0.037711,0.032709,0.027734,0.021061,0.002127,0.001672,0.009232,0.005268,0.003434,0.007054,0.010204,0.003532,0.004825,0.023910,0.004563,0.002425,0.000000,0.000000,0.005265,0.002779,0.000000
MD/number_sorting,0.017042,0.015064,0.019091,0.014627,0.032494,0.030199,0.029543,0.026380,0.022501,0.013246,0.025673,0.036952,0.038009,0.018241,0.019076,0.016565,0.017664,0.093835,0.000000,0.018449,0.027629,0.018496,0.027397,0.030116,0.032280,0.018027,0.010013,0.016590,0.022924,0.022241,0.025363,0.023044,0.036530,0.021875,0.030875,0.030901,0.027284,0.018330,0.017995,0.001688,0.001507,0.000000,0.002762,0.010226,0.010794,0.010461
MD/simple_equation,0.103782,0.074289,0.099641,0.072362,0.062540,0.002200,0.001198,0.001306,0.110304,0.000000,0.001169,0.000862,0.001664,0.104912,0.075196,0.106260,0.073371,0.059466,0.018449,0.000000,0.000610,0.000821,0.001230,0.000888,0.000969,0.000000,0.000363,0.000603,0.000832,0.000599,0.000640,0.001425,0.001482,0.001677,0.001332,0.001182,0.001207,0.001358,0.002243,0.001040,0.000682,0.000522,0.002658,0.003149,0.001662,0.001856
ToM/agent,0.002384,0.001471,0.001336,0.001641,0.004955,0.007357,0.012571,0.008052,0.001618,0.031419,0.038395,0.030007,0.017460,0.000000,0.000837,0.000904,0.000859,0.016201,0.027629,0.000610,0.000000,0.076754,0.015179,0.017050,0.020435,0.129274,0.079637,0.124684,0.187232,0.008531,0.006626,0.010775,0.015695,0.014728,0.010073,0.012250,0.011468,0.013376,0.019831,0.002056,0.000918,0.000000,0.003575,0.006228,0.001547,0.006371
ToM/desires_goals,0.002782,0.002778,0.000898,0.003993,0.004883,0.013030,0.011880,0.014708,0.003263,0.016841,0.020028,0.025583,0.010125,0.000811,0.002656,0.000827,0.002357,0.042022,0.018496,0.000821,0.076754,0.000000,0.009893,0.010559,0.014535,0.104057,0.191844,0.152453,0.071901,0.013063,0.013563,0.013818,0.009797,0.011488,0.013544,0.010781,0.009063,0.013169,0.017893,0.000650,0.001815,0.001388,0.002262,0.020687,0.008839,0.007405
ToM/emotion_fewshot,0.002661,0.009915,0.000256,0.011318,0.015295,0.044508,0.037721,0.047729,0.001320,0.004417,0.007700,0.023094,0.021939,0.001970,0.011557,0.001741,0.013519,0.005309,0.027397,0.001230,0.015179,0.009893,0.000000,0.054934,0.044702,0.014844,0.009879,0.012138,0.013650,0.038956,0.041641,0.054556,0.047638,0.055089,0.048518,0.064200,0.050075,0.048728,0.012563,0.005033,0.005199,0.005449,0.034830,0.002391,0.006627,0.012689
ToM/norm_appropriate,0.001939,0.004306,0.001201,0.006738,0.011937,0.031661,0.037584,0.034134,0.001454,0.015062,0.016494,0.040743,0.023015,0.002195,0.004118,0.001789,0.006553,0.007890,0.030116,0.000888,0.017050,0.010559,0.054934,0.000000,0.078634,0.011906,0.010507,0.012509,0.012556,0.028938,0.032314,0.053758,0.046718,0.043278,0.042290,0.048662,0.085020,0.049931,0.006456,0.007085,0.004636,0.005964,0.019432,0.009064,0.010693,0.017288
ToM/norm_moral,0.001712,0.004567,0.000631,0.004669,0.011705,0.029019,0.034059,0.031795,0.001559,0.026527,0.032156,0.035971,0.026985,0.001345,0.003829,0.001185,0.005984,0.011801,0.032280,0.000969,0.020435,0.014535,0.044702,0.078634,0.000000,0.020469,0.019474,0.019068,0.020774,0.031789,0.033574,0.040858,0.046398,0.039400,0.045766,0.042068,0.070219,0.052945,0.008550,0.003613,0.002636,0.002652,0.012563,0.004001,0.007329,0.018801
